,category,message,cleaned
1596,Larceny/Theft,"BURGLARY OF STORE, FORCIBLE ENTRY",burglari of store forcibl entri
1711,Larceny/Theft,STOLEN MISCELLANEOUS VEHICLE,stolen miscellan vehicl
1722,Larceny/Theft,ROBBERY ON THE STREET WITH A KNIFE,robberi on the street with a knife
1728,Larceny/Theft,PETTY THEFT AUTO STRIP,petti theft auto strip
1730,Larceny/Theft,"THEFT, GRAND, OF FIREARM",theft grand of firearm
1737,Larceny/Theft,"BURGLARY OF WAREHOUSE, UNLAWFUL ENTRY",burglari of warehous unlaw entri
1745,Larceny/Theft,"THEFT, BICYCLE, <$50, SERIAL NUMBER KNOWN",theft bicycl serial number known
1791,Traffic Violation,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS,drive while under the influenc of drug
1799,Larceny/Theft,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,attempt robberi on the street with bodili forc
1908,Violence/Homicide,"WEAPON, ASSAULT, POSSESSION, MANUFACTURE, OR SALE",weapon assault possess manufactur or sale
1969,Sex Offences,ASSAULT TO RAPE WITH BODILY FORCE,assault to rape with bodili forc
1990,Drug/Narcotics,POSSESSION OF CONTROLLED SUBSTANCE,possess of control substanc
2024,Larceny/Theft,"ROBBERY ON THE STREET, STRONGARM",robberi on the street strongarm
2039,Kidnapping,CHILD STEALING,child steal
2047,Larceny/Theft,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM",robberi of a commerci establish strongarm
2133,Larceny/Theft,GRAND THEFT PURSESNATCH,grand theft pursesnatch
2160,Larceny/Theft,ATTEMPTED ROBBERY WITH BODILY FORCE,attempt robberi with bodili forc
2186,Sex Offences,FAILURE TO REGISTER AS SEX OFFENDER,failur to regist as sex offend
2202,Violence/Homicide,ATTEMPTED HOMICIDE WITH A GUN,attempt homicid with a gun
2214,Larceny/Theft,"BURGLARY OF STORE, UNLAWFUL ENTRY",burglari of store unlaw entri
2216,Larceny/Theft,"SHOPLIFTING, FORCE AGAINST AGENT",shoplift forc against agent
2232,Traffic Violation,FALSE EVIDENCE OF VEHICLE REGISTRATION,fals evid of vehicl registr
2243,Drug/Narcotics,SALE OF CONTROLLED SUBSTANCE,sale of control substanc
2252,Violence/Homicide,ATTEMPTED SIMPLE ASSAULT,attempt simpl assault
2263,Violence/Homicide,GANG ACTIVITY,gang activ
2371,Violence/Homicide,"FIREARM, DISCHARGING AT OCCUPIED BLDG, VEHICLE, OR AIRCRAFT",firearm discharg at occupi bldg vehicl or aircraft
2382,Violence/Homicide,ARSON OF A COMMERCIAL BUILDING,arson of a commerci build
2408,Larceny/Theft,ATTEMPTED ROBBERY CHAIN STORE WITH A KNIFE,attempt robberi chain store with a knife
2409,Larceny/Theft,ROBBERY OF A CHAIN STORE WITH A KNIFE,robberi of a chain store with a knife
2431,Larceny/Theft,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY",burglari of resid attempt forcibl entri
2455,Larceny/Theft,ROBBERY ON THE STREET WITH A DANGEROUS WEAPON,robberi on the street with a danger weapon
2462,Violence/Homicide,"ASSAULT, AGGRAVATED, W/ SEMI AUTO",assault aggrav w semi auto
2470,Violence/Homicide,ARSON OF A VEHICLE,arson of a vehicl
2572,Violence/Homicide,POSSESSION OF CAUSTIC CHEMICAL,possess of caustic chemic
2611,Larceny/Theft,ATTEMPTED PETTY THEFT OF PROPERTY,attempt petti theft of properti
2612,Violence/Homicide,DISCHARGING IN GROSSLY NEGLIGENT MANNER,discharg in grossli neglig manner
2651,Larceny/Theft,"STOLEN ACCESS CARD, POSSESSION",stolen access card possess
2686,Kidnapping,"KIDNAPPING, ADULT VICTIM",kidnap adult victim
2712,Larceny/Theft,ATTEMPTED ROBBERY CHAIN STORE WITH BODILY FORCE,attempt robberi chain store with bodili forc
2760,Violence/Homicide,ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON,assault on a polic offic with a dead weapon
2856,Larceny/Theft,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",burglari of hotel room unlaw entri
2868,Drug/Narcotics,SALE OF HEROIN,sale of heroin
2872,Drug/Narcotics,SALE OF MARIJUANA,sale of marijuana
2979,Larceny/Theft,"BURGLARY OF WAREHOUSE, FORCIBLE ENTRY",burglari of warehous forcibl entri
2987,Violence/Homicide,UNLAWFUL DISSUADING/THREATENING OF A WITNESS,unlaw dissuad threaten of a wit
3024,Violence/Homicide,THREATS TO SCHOOL TEACHERS,threat to school teacher
3062,Drug/Narcotics,POSSESSION OF COCAINE,possess of cocain
3132,Violence/Homicide,"FLAMMABLE OR EXPLOSIVE DEVICE, POSSESSION",flammabl or explos devic possess
3156,Sex Offences,"FORCIBLE RAPE, ARMED WITH A GUN",forcibl rape arm with a gun
3162,Traffic Violation,"DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL, W/INJURY",drive while under the influenc of alcohol w injuri
3167,Drug/Narcotics,TRANSPORTATION OF MARIJUANA,transport of marijuana
3182,Violence/Homicide,"DISTURBING THE PEACE, FIGHTING",disturb the peac fight
3345,Violence/Homicide,"WEAPON, DEADLY, EXHIBITING TO RESIST ARREST",weapon dead exhibit to resist arrest
3447,Violence/Homicide,"WEAPON, POSSESS OR BRING OTHER ON SCHOOL GROUNDS",weapon possess or bring other on school ground
3478,Larceny/Theft,"BURGLARY OF WAREHOUSE, ATTEMPTED FORCIBLE ENTRY",burglari of warehous attempt forcibl entri
3492,Violence/Homicide,"WEAPON, DEADLY, CARRYING WITH INTENT TO COMMIT ASSAULT",weapon dead carri with intent to commit assault
3650,Violence/Homicide,POSS OF TEAR GAS WEAPON,poss of tear gas weapon
3690,Larceny/Theft,CARJACKING WITH A GUN,carjack with a gun
3696,Larceny/Theft,ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ WEAPON,robberi of a commerci establish w weapon
3699,Sex Offences,SODOMY,sodomi
3700,Sex Offences,ORAL COPULATION,oral copul
3737,Larceny/Theft,"BURGLARY,BLDG. UNDER CONSTRUCTION, FORCIBLE ENTRY",burglari bldg under construct forcibl entri
3765,Violence/Homicide,DISTURBING THE PEACE,disturb the peac
3770,Drug/Narcotics,POSSESSION OF BASE/ROCK COCAINE,possess of base rock cocain
3782,Mental Health/Bullying,ATTEMPTED SUICIDE BY JUMPING,attempt suicid by jump
3814,Violence/Homicide,ARSON OF A POLICE BUILDING,arson of a polic build
3960,Larceny/Theft,ATTEMPTED ROBBERY CHAIN STORE WITH DEADLY WEAPON,attempt robberi chain store with dead weapon
3963,Violence/Homicide,THREATENING PHONE CALL(S),threaten phone call s
4163,Violence/Homicide,ATTEMPTED HOMICIDE WITH BODILY FORCE,attempt homicid with bodili forc
4253,Larceny/Theft,GRAND THEFT AUTO STRIP,grand theft auto strip
4283,Larceny/Theft,THEFT FROM MERCHANT OR LIBRARY,theft from merchant or librari
4288,Violence/Homicide,ARSON OF AN INHABITED DWELLING,arson of an inhabit dwell
4337,Kidnapping,"ATTEMPTED KIDNAPPING, JUVENILE VICTIM",attempt kidnap juvenil victim
4389,Violence/Homicide,MAYHEM WITH BODILY FORCE,mayhem with bodili forc
4402,Larceny/Theft,"BURGLARY,FLAT UNDER CONSTRUCTION, UNLAWFUL ENTRY",burglari flat under construct unlaw entri
4462,Larceny/Theft,ROBBERY OF A BANK WITH BODILY FORCE,robberi of a bank with bodili forc
4511,Larceny/Theft,ROBBERY OF A RESIDENCE WITH A DANGEROUS WEAPON,robberi of a resid with a danger weapon
4710,Larceny/Theft,ATTEMPTED AUTO STRIP,attempt auto strip
5130,Mental Health/Bullying,ATTEMPTED SUICIDE BY LACERATION,attempt suicid by lacer
5143,Violence/Homicide,STALKING,stalk
5147,Sex Offences,CHILD ABUSE SEXUAL,child abus sexual
5152,Violence/Homicide,MAYHEM WITH A DEADLY WEAPON,mayhem with a dead weapon
5182,Larceny/Theft,"LICENSE PLATE OR TAB, THEFT OF",licens plate or tab theft of
5286,Violence/Homicide,LOCATED EXPLOSIVE DEVICE,locat explos devic
5303,Larceny/Theft,ATTEMPTED GRAND THEFT PURSESNATCH,attempt grand theft pursesnatch
5401,Larceny/Theft,ATTEMPTED ROBBERY WITH A DEADLY WEAPON,attempt robberi with a dead weapon
5480,Larceny/Theft,ATTEMPTED THEFT FROM UNLOCKED VEHICLE,attempt theft from unlock vehicl
5555,Violence/Homicide,ATTEMPTED HOMICIDE WITH A KNIFE,attempt homicid with a knife
5557,Larceny/Theft,"ROBBERY,  ATM, FORCE, ATT.",robberi atm forc att
5558,Larceny/Theft,ATTEMPTED ROBBERY ON THE STREET WITH A KNIFE,attempt robberi on the street with a knife
5656,Larceny/Theft,"THEFT, BICYCLE, <$50, NO SERIAL NUMBER",theft bicycl no serial number
5825,Violence/Homicide,POSSESSION OF MACHINE GUN,possess of machin gun
5833,Drug/Narcotics,SALE OF HALLUCINOGENIC,sale of hallucinogen
5834,Drug/Narcotics,POSSESSION OF HALLUCINOGENIC FOR SALES,possess of hallucinogen for sale
5956,Sex Offences,"SEXUAL ASSAULT, AGGRAVATED, OF CHILD",sexual assault aggrav of child
6048,Violence/Homicide,ATTEMPTED HOMICIDE WITH A DANGEROUS WEAPON,attempt homicid with a danger weapon
6084,Larceny/Theft,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",burglari hot prowl attempt forcibl entri
6103,Larceny/Theft,"BURGLARY OF FLAT, FORCIBLE ENTRY",burglari of flat forcibl entri
6269,Violence/Homicide,MAINTAINING A PUBLIC NUISANCE,maintain a public nuisanc
6440,Drug/Narcotics,SALE OF COCAINE,sale of cocain
6479,Traffic Violation,"DRIVING WHILE UNDER THE INFLUENCE OF DRUGS, W/INJURY",drive while under the influenc of drug w injuri
6488,Larceny/Theft,ATTEMPTED THEFT OF A BICYCLE,attempt theft of a bicycl
6521,Mental Health/Bullying,"CASH DISPENSING MACHINES (ATM), LOITERING PROHIBI",cash dispens machin atm loiter prohibi
6661,Larceny/Theft,"BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY",burglari bldg under construct unlaw entri
6833,Sex Offences,UNLAWFUL SEXUAL INTERCOURSE,unlaw sexual intercours
7365,Mental Health/Bullying,LOITERING,loiter
7580,Larceny/Theft,ATTEMPTED ROBBERY RESIDENCE WITH BODILY FORCE,attempt robberi resid with bodili forc
7772,Mental Health/Bullying,SUICIDE BY STRANGULATION,suicid by strangul
7818,Drug/Narcotics,CONSUMING ALCOHOL IN PUBLIC VIEW,consum alcohol in public view
7917,Mental Health/Bullying,SUICIDE BY JUMPING,suicid by jump
8121,Larceny/Theft,CARJACKING WITH A DANGEROUS WEAPON,carjack with a danger weapon
8204,Larceny/Theft,ATTEMPTED STOLEN VEHICLE,attempt stolen vehicl
8508,Drug/Narcotics,POSSESSION OF METHADONE FOR SALES,possess of methadon for sale
8594,Sex Offences,SODOMY (ADULT VICTIM),sodomi adult victim
8777,Drug/Narcotics,UNLAWFUL TRANSPORTATION OF ALCOHOL,unlaw transport of alcohol
8935,Violence/Homicide,"DISTURBING THE PEACE, COMMOTION",disturb the peac commot
8962,Drug/Narcotics,POSSESSION OF OPIUM DERIVATIVE FOR SALES,possess of opium deriv for sale
9180,Drug/Narcotics,FAILURE TO REGISTER AS NARCOTICS ADDICT,failur to regist as narcot addict
9276,Larceny/Theft,"BURGLARY OF HOTEL ROOM, FORCIBLE ENTRY",burglari of hotel room forcibl entri
9466,Larceny/Theft,THEFT OF WRITTEN INSTRUMENT,theft of written instrument
9656,Larceny/Theft,ATTEMPTED GRAND THEFT PICKPOCKET,attempt grand theft pickpocket
9663,Mental Health/Bullying,LOITERING ABOUT SCHOOL/PLAYGROUND,loiter about school playground
9986,Violence/Homicide,"FIREARM, NEGLIGENT DISCHARGE",firearm neglig discharg
10390,Larceny/Theft,"THEFT OF TELECOMMUNICATION SERVICES, INCL. CLONE PHONE",theft of telecommun servic incl clone phone
10433,Larceny/Theft,THEFT OF ANIMALS (GENERAL),theft of anim general
10546,Violence/Homicide,"FIREARM, POSSESSION OF WHILE WEARING MASK",firearm possess of while wear mask
10746,Larceny/Theft,PETTY THEFT WITH PRIOR,petti theft with prior
10819,Drug/Narcotics,POSSESSION OF HALLUCINOGENIC,possess of hallucinogen
10821,Drug/Narcotics,PLANTING/CULTIVATING MARIJUANA,plant cultiv marijuana
10886,Kidnapping,KIDNAPPING DURING CARJACKING,kidnap dure carjack
11052,Larceny/Theft,ROBBERY OF A RESIDENCE WITH BODILY FORCE,robberi of a resid with bodili forc
11055,Larceny/Theft,"ROBBERY,  ATM, KNIFE",robberi atm knife
11143,Violence/Homicide,MAYHEM WITH A KNIFE,mayhem with a knife
11325,Larceny/Theft,ATTEMPTED ROBBERY RESIDENCE WITH A GUN,attempt robberi resid with a gun
11389,Sex Offences,ANNOY OR MOLEST CHILDREN,annoy or molest children
11508,Drug/Narcotics,TRANSPORTATION OF METH-AMPHETAMINE,transport of meth amphetamin
11756,Larceny/Theft,EMBEZZLEMENT FROM DEPENDENT OR ELDER ADULT BY CARETAKER,embezzl from depend or elder adult by caretak
12371,Larceny/Theft,ATTEMPTED ROBBERY OF A BANK WITH BODILY FORCE,attempt robberi of a bank with bodili forc
12499,Larceny/Theft,STOLEN TRAILER,stolen trailer
12714,Violence/Homicide,FIREARM POSSESSION IN SCHOOL ZONE,firearm possess in school zone
12860,Larceny/Theft,"THEFT, DRUNK ROLL, $200-$400",theft drunk roll
12865,Sex Offences,"CHILD ABUSE, PORNOGRAPHY",child abus pornographi
12877,Sex Offences,"PENETRATION, FORCED, WITH OBJECT",penetr forc with object
13007,Mental Health/Bullying,ATTEMPTED SUICIDE,attempt suicid
13238,Sex Offences,"SEXUAL ASSAULT, ADMINISTERING DRUG TO COMMIT",sexual assault administ drug to commit
13279,Larceny/Theft,ROBBERY OF A COMMERCIAL ESTABLISHMENT WITH A GUN,robberi of a commerci establish with a gun
13533,Sex Offences,"CHILD ABUSE, EXPLOITATION",child abus exploit
13776,Larceny/Theft,ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ A KNIFE,robberi of a commerci establish w a knife
13821,Larceny/Theft,"AUTO, GRAND THEFT OF",auto grand theft of
13826,Violence/Homicide,DISCHARGE FIREARM AT AN INHABITED DWELLING,discharg firearm at an inhabit dwell
14247,Violence/Homicide,"DISTURBING THE PEACE, SWEARING",disturb the peac swear
14292,Larceny/Theft,ATTEMPTED ROBBERY ON THE STREET W/DEADLY WEAPON,attempt robberi on the street w dead weapon
15007,Larceny/Theft,ROBBERY OF A RESIDENCE WITH A GUN,robberi of a resid with a gun
15104,Mental Health/Bullying,SUICIDE BY ASPHYXIATION,suicid by asphyxi
15186,Drug/Narcotics,POSSESSION OF METHADONE,possess of methadon
15285,Larceny/Theft,"BURGLARY,APT UNDER CONSTRUCTION, FORCIBLE ENTRY",burglari apt under construct forcibl entri
15368,Larceny/Theft,ATTEMPTED ROBBERY COMM. ESTAB. WITH BODILY FORCE,attempt robberi comm estab with bodili forc
